Seite,Zeilen,TextDissertation,SeiteFundstelle,ZeilenFundstelle,TextFundstelle,Kategorie,ImLiteraturverzeichnis,Quelle,URL,Anmerkung
097, "103-105", "Mit grundsätzlichen Erwägungen H. Roggemann, Verfassungsentwicklung und Verfassungsrecht in Osteuropa, in: Recht in Ost und West, 1996, S. 177 ff.; A. Stolz / B. Wieser (Hrsg.), Verfassungsvergleichung in Mitteleuropa, 2000.&#13;&#10;&#13;&#10;[Es geht weiter mit: &quot;Zu den einzelnen osteuropäischen Staaten vgl. den Literaturhinweis bei P. Häberle, Europäische Verfassungslehre, 4. Aufl. 2006, S. 217 Fn. 93.&quot;]", 217, "", "Fussnote 93:&#13;&#10;&#13;&#10;[...] allgemein: H. Roggemann, Verfassungsentwicklung und Verfassungsrecht in Osteuropa, in: Recht in Ost und West, 1996, S. 177 ff.; A. Stolz/B. Wieser (Hrsg.), Verfassungsvergleichung in Mitteleuropa, 2000. [...]", "VerschärftesBauernOpfer", "ja", "Häberle 2006", "http://de.guttenplag.wikia.com/wiki/Kategorie:Häberle%202006", "Ein kurioses, aber aufschlußreiches Beispiel für ein Fussnotenplagiat. G. verweist korrekt auf die Fussnote von Häberle. Er erweckt jedoch den Eindruck, hier sei ergänzende Literatur über die von ihm angeführte hinaus auffindbar. Die beiden Literaturnachweise, die G. gibt, sind selbst jedoch aus der Fussnote Häberles übernommen. {{Fragmentsichter|KayH|+}}"
098, "01-17", "[Erinnert sei in diesem Zusammenhang nur an die Ausweitung der Gemeinschaftskompetenzen [242], die zu einer politischen Auf-]wertung der Union führten, die Einführung einer Unionsbürgerschaft [243] und die Herausbildung eines europäischen Bewusstseins sowie die an Resonanz gewinnende Überzeugung, dass mit zunehmender Ausweitung des demokratischen Defizits Vertragsänderungen nicht mehr wie bisher durchgeführt werden konnten. Das Bewusstsein über die Notwendigkeit einer verfassungsgestaltenden und letztlich verfassungsmäßigen „Generalüberholung“ der Union sowie die Erkenntnis, die Union sollte den Geboten von Transparenz, Efﬁzienz und Demokratie wahrhaftig genügen, reifte in den vergangenen Jahren über die Ebene einzelner Staats- und Regierungschefs hinaus auch in der Wahrnehmung einer beträchtlichen Mehrheit der Bürger in der Europäischen Union [244].&#13;&#10;&#13;&#10;Es ist müßig darüber zu debattieren, ob eine solche, mit aller Konsequenz geführte Verfassungsdiskussion bereits zu Beginn der europäischen Einigung zu einer Blockierung des Integrationsprozesses geführt hätte, noch bevor er richtig begonnen worden wäre. Gleichwohl war die schrittweise Integration in der Gründerphase der europäischen Einigung, die oftmals so apostrophierte „Monnet-Methode“ [245], während dieses Abschnittes der europäischen Integration insgesamt die adäquate Methode.", 26, "08-27", "Erinnert sei in diesem Zusammenhang nur an die Ausweitung der Gemeinschaftskompetenzen, die zu einer politischen Aufwertung der Union führten, die Einführung einer Unionsbürgerschaft [6] und die Herausbildung eines europäischen Bewusstseins sowie die zunehmend an Resonanz gewinnende Überzeugung, dass mit zunehmender Ausweitung des demokratischen Defizits Vertragsänderungen nicht mehr wie bisher durchgeführt werden konnten. Den Staats- und Regierungschefs ist zunehmend bewusst geworden, dass die Union, soll sie den Geboten von Transparenz, Efﬁzienz und Demokratie wahrhaftig genügen, einer verfassungsmäßigen „Generalüberholung“ bedarf. Inzwischen ist auch eine große Mehrheit der Bürger in der  Europäischen Union von der Notwendigkeit einer europäischen Verfassung überzeugt [7].&#13;&#10;&#13;&#10;Hätte man eine solche Verfassungsdiskussion mit aller Konsequenz bereits zu Beginn der europäischen Einigung geführt, wäre der Integrationsprozesses wahrscheinlich blockiert worden, noch bevor er richtig begonnen worden hätte. Insofern war die schrittweise Integration in der Gründerphase der europäischen Einigung, die so genannte Monnet-Methode, in der Gründerphase der europäischen Integration insgesamt die adäquate Methode. [8]", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", ""
098, "101-102", "[243] Siehe den &#039;&#039;3. Bericht der Kommission über die Unionsbürgerschaft&#039;&#039; v. 7. 9. 2001 (KOM (2001) 506) [...]", 26, 101, "[6] Vgl. 3. Bericht der Kommission über die Unionsbürgerschaft v. 7. 9. 2001 (KOM (2001) 506 endg.)", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Die Fußnote wurde mit dem dazugehörigen Text kopiert, sie befindet sich an der gleichen Stelle."
098, "102-111", "Fussnote 243:&#13;&#10;&#13;&#10;[...] sowie aus dem Schrifttum P. Häberle, Europäische Verfassungslehre, 4. Aufl. 2006, S. 353 ff. Siehe bereits E. Grabitz, Europäisches Bürgerrecht zwischen Marktbürgerschaft und Staatsbürgerschaft, 1970; S. Magiera, Die Europäische Gemeinschaft auf dem Weg zu einem Europa der Bürger?, in: DÖV 1987, S. 221 ff.; später ders., Der Rechtsstatus der Unionsbürger, in: K. Dicke u. a. (Hrsg.), Weltinnenrecht, Liber amicorum Jost Delbrück, 2005, S. 429 ff.; vgl. auch M. Degen, Die Unionsbürgerschaft nach dem Vertrag über die Europäische Union, in: DÖV 1993, S. 749 ff.; A. Randelzhofer, Marktbürgerschaft – Unionsbürgerschaft – Staatsbürgerschaft, in: A. Randelzhofer / R. Scholz / D. Wilke (Hrsg.), Gedächtnisschrift für Eberhard Grabitz, 1995, S. 581 ff.; N. Kotalakidis, Von der nationalen Staatsangehörigkeit zur Unionsbürgerschaft, 2000.", "353f.", "", "Fussnote 265:&#13;&#10;&#13;&#10;Aus der Lit.: E. Grabitz, Europäisches Bürgerrecht zwischen Marktbürgerschaft und Staatsbürgerschaft, 1970; N. Kotalakidis, Von der nationalen Staatsangehörigkeit zur Unionsbürgerschaft, 2000; [...] M. Degen, Die Unionsbürgerschaft nach dem Vertrag über die Europäische Union, DÖV 1993, S. 749 ff.; A. Randelzhofer, Maktbürgerschaft [sic!] – Unionsbürgerschaft – Staatsbürgerschaft, GS Grabitz, 1995, S. 581 ff.; [...] S. Magiera, Die Europäische Gemeinschaft auf dem Weg zu einem Europa der Bürger, DÖV 1987, S. 221 ff.; [...] S. Magiera, Der Rechtsstatus der Unionsbürger, FS Delbrück, 2005, S. 429 ff.", "VerschärftesBauernOpfer", "ja", "Häberle 2006", "http://de.guttenplag.wikia.com/wiki/Kategorie:Häberle%202006", "G. distanziert sich von Häberle, dessen Nachweise er kopiert, mit &quot;Siehe bereits&quot;.  Die Fussnote ist fast identisch zur Fussnote 184 auf S. 78. {{Fragmentsichter|KayH|+}}"
098, "112-114", "[244] Von der Notwendigkeit einer europäischen Verfassung überzeugt zeigten sich 2002 nach der 56. Ausgabe des Eurobarometers 2/3 der Bevölkerung, vgl. &#039;&#039;Bulletin Quotidien Europe&#039;&#039; Nr. 8192 v. 15. / 16. 4. 2002, S. 7 und Nr. 8194 v. 18. 4. 2002, S. 6.", 26, "102-104", "[7] Nach der 56. Ausgabe des Eurobarometers 2/3 der Bevölkerung der Ansicht, dass die Union eine Verfassung haben sollte, vgl. Bulletin Quotidien Europe Nr. 8192 v. 15. / 16. 4. 2002, S. 7 und Nr. 8194 v. 18. 4. 2002, S. 6.", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Die Fußnote wurde mit dem dazugehörigen Text kopiert, sie befindet sich an der gleichen Stelle."
098, "115-118", "[245] Ein Vorgehen, das die Union schrittweise, orientiert am jeweils Machbaren und ohne die Beteiligten zu überfordern, fortentwickelt, aber umgekehrt auch zu derjenigen Unübersichtlichkeit des Vertragswerks beigetragen hat, die zu einem weiteren ernst zu nehmenden Argument für die gegenwärtige Verfassungsdiskussion wurde. Vgl. zur sog. „Monnet-Methode“ u. a. &#039;&#039;W. Wessels&#039;&#039;, Jean Monnet – Mensch und Methode, 2001.", 26, "23-27", "Sie hat die Union schrittweise, orientiert am jeweils Machbaren und ohne die Beteiligten zu überfordern, fortentwickelt, aber umgekehrt auch zu derjenigen Unübersichtlichkeit des Vertragswerks beigetragen, die zu einem weiteren ernst zu nehmenden Argument für die gegenwärtige Verfassungsdiskussion wurde.", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Auslagerung eines Satzes des Originaltextes in eine Fußnote."
098, "120-126", "[246] Neben den grundlegenden Erwägungen und in dieser Hinsicht Pionierwerken &#039;&#039;P. Häberles&#039;&#039; (vgl. nur &#039;&#039;ders&#039;&#039;., Europäische Verfassungslehre, 4. Auﬂ. 2006, S. 36 ff.) hebt diese verfassunggebenden Elemente etwa auch &#039;&#039;A. Peters&#039;&#039;,  Elemente einer Theorie der Verfassung Europas, 2001 hervor, die Züge einer „Kontinuierlichen Verfassungsgebung“ konstatiert und eine „Konstitution durch Evolution“ (S. 375 ff.) sowie eine „Legitimation durch Bewährung“ (S. 580 ff.) postuliert. Grundsätze, nach denen der Union bereits heute unstreitig Verfassungsqualität zukommt; vgl. dazu lediglich noch &#039;&#039;I. Pernice / P.M. Hu&#039;&#039;-[&#039;&#039;ber / G. Lübbe-Wolff / C. Grabenwarter&#039;&#039;, Europäisches und nationales Verfassungsrecht, in: VVDStRL 60 (2001) und &#039;&#039;H. Steinberger / E. Klein/ D. Thürer&#039;&#039;, Der Verfassungsstaat als Glied einer europäischen Gemeinschaft, in: VVDStRL 50 (1991).]", 26, "105-112", "[8] Neuere Stimmen in der Literatur sehen aber auch in dieser evolutionären Entwicklung schon verfassunggebende Elemente: So konstatiert etwa Anne Peters,  Elemente einer Theorie der Verfassung Europas, 2001 Züge einer „Kontinuierlichen Verfassungsgebung“ und postuliert eine „Konstitution durch Evolution“ (S. 375 ff.) sowie eine „Legitimation durch Bewährung“ (S. 580 ff.) postuliert. Grundsätze, nach denen der Union bereits heute unstreitig Verfassungsqualität zukommt; vgl. dazu lediglich noch Ingolf Pernice / Peter M. Huber / Gertrude Lübbe-Wolff / Christoph Grabenwarter, Europäisches und nationales Verfassungsrecht, VVDStRL 60 (2001), und Helmut Steinberger / Eckart Klein/ Daniel Thürer, Der Verfassungsstaat als Glied einer europäischen Gemeinschaft, VVDStRL 50 (1991).", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Die Fußnote wurde mit dem dazugehörigen Text kopiert, sie befindet sich an einer ähnlichen Stelle."
099, "08-11", "Insgesamt gestaltet sich spätestens seit dem Vertrag von Nizza die Diskussion sehr viel politischer als zuvor und steht unter einem sehr viel größeren – nicht nur zeitlichen – (Erwartungs-) Druck.", 27, "09-12", "Die Diskussion wird mit anderen Worten sehr viel politischer verlaufen als die Diskussion zuvor und sie wird unter einem sehr viel größeren – nicht nur zeitlichen – (Erwartungs-) Druck stehen.", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Bei den vorherigen Sätzen hat sich der Verfasser wahrscheinlich auch von Fuchs inspirieren lassen, aber es wurde soweit umgeformt, dass der Absatz nicht mehr als Plagiat zu erkennen ist. Dies liegt wohl daran, dass Fuchs 2002 erschien."
99, "12-25", "Im Vorfeld der erneuten Verfassungsdebatte rückten vier qualitativ unterschiedliche Herangehensweisen zur Reform der Vertragsstruktur ins Blickfeld.&#13;&#10;&#13;&#10;&#13;&#10;- Redaktionelle Vereinfachungen, wie sie in Amsterdam (248) begonnen wurden. &#13;&#10;&#13;&#10;- Fusionsmodelle, die die wichtigsten Verträge (EUV, EGV, EGKSV, EAGV) in einem Vertrag zusammenführen und dabei weniger wichtige Bestandteile, z.B. Protokolle ausgliedern.&#13;&#10;&#13;&#10;- Grundvertragsmodelle, die eine rechtsqualitative Zweiteilung in einen Kernvertrag mit den konstitutionellen Bestandteilen der Gemeinschaftsverträge sowie in einen oder mehrere Ausführungsteile vorsehen, deren Revision dann auch unterschiedlich strengen Anforderungen genügen muss.&#13;&#10;&#13;&#10;&#13;&#10;- Schließlich Verfassungsmodelle, die einen neuen Text generieren, der in der Regel von einer verfassungsgebenden Institution (z. B. Konvent) erarbeitet wird - wobei allerdings unterschiedliche Leitmotive zu unterschiedlichen Lösungsmodellen führen.", 1, "18-30", "In Anlehnung an eine Systematik von Prof. Müller-Graff lassen sich vier qualitativ unterschiedliche Herangehensweisen zur Reform der Vertragsstruktur unterscheiden:&#13;&#10;&#13;&#10;1. &#039;&#039;Redaktionelle Vereinfachungen&#039;&#039;, wie sie in Amsterdam begonnen wurden.&#13;&#10;&#13;&#10;2. &#039;&#039;Fusionsmodelle&#039;&#039;, die die wichtigsten Verträge (EUV, EGV, EGKSV, EAGV) in einem Vertrag zusammenführen und dabei weniger wichtige Bestandteile z.B. durch Protokolle ausgliedern&#13;&#10;&#13;&#10;3. &#039;&#039;Grundvertragsmodelle&#039;&#039;, die eine rechtsqualitative Zweiteilung in einen Kernvertrag mit den konstitutionellen Bestandteilen der Gemeinschaftsverträge sowie in einen oder mehrere Ausführungsteile vorsehen, deren Revision dann auch unterschiedlich strengen Anforderungen genügen muss&#13;&#10;&#13;&#10;4. &#039;&#039;Verfassungsmodelle&#039;&#039;, die einen neuen Text generieren, der in der Regel von einer verfassungsgebenden Institution (z.B. Konvent) erarbeitet wird – wobei allerdings unterschiedliche Leitmotive zu unterschiedlichen Lösungsmodellen führen.", "Verschleierung", "nein", "Giering o.J.", "http://de.guttenplag.wikia.com/wiki/Kategorie:Giering%20o.J.", "Mit Ausnahme des Einleitungssatzes nur sehr geringe Abweichungen vom Original. {{Fragmentsichter|MoonofA|+}}"
099, "28-31", "So sollten redaktionelle Vereinfachungen oder eine reine Fusion der vorhandenen Vertragstexte nicht ausreichen, um das notwendige Maß an Vereinfachung und Transparenz zu schaffen. &#039;&#039;Verfassungsmodelle&#039;&#039; oder sogar eine damit verbundene „Neugründung&quot; der Europäischen Union [hätten sich hingegen stets an der politischen Durchsetzbarkeit zu messen.]", 1, "31-34", "=&gt; Redaktionelle Vereinfachungen oder eine reine Fusion der vorhandenen Vertragstexte reichen nicht aus, um das notwendige Maß an Vereinfachung und Transparenz zu schaffen. Verfassungsmodelle und eine damit verbundene “Neugründung” der EU [sind hingegen politisch nicht durchsetzbar (...).]", "Verschleierung", "nein", "Giering o.J.", "http://de.guttenplag.wikia.com/wiki/Kategorie:Giering%20o.J.", "Fortsetzung des Plagiats auf Seite 100. {{Fragmentsichter|MoonofA|+}}"
099, "101-103", "[[246] Neben den grundlegenden Erwägungen und in dieser Hinsicht Pionierwerken &#039;&#039;P. Häberles&#039;&#039; (vgl. nur &#039;&#039;ders&#039;&#039;., Europäische Verfassungslehre, 4. Auﬂ. 2006, S. 36 ff.) hebt diese verfassunggebenden Elemente etwa auch &#039;&#039;A. Peters&#039;&#039;,  Elemente einer Theorie der Verfassung Europas, 2001 hervor, die Züge einer „Kontinuierlichen Verfassungsgebung“ konstatiert und eine „Konstitution durch Evolution“ (S. 375 ff.) sowie eine „Legitimation durch Bewährung“ (S. 580 ff.) postuliert. Grundsätze, nach denen der Union bereits heute unstreitig Verfassungsqualität zukommt; vgl. dazu lediglich noch &#039;&#039;I. Pernice / P.M. Hu&#039;&#039;-]&#039;&#039;ber / G. Lübbe-Wolff / C. Grabenwarter&#039;&#039;, Europäisches und nationales Verfassungsrecht, in: VVDStRL 60 (2001) und &#039;&#039;H. Steinberger / E. Klein/ D. Thürer&#039;&#039;, Der Verfassungsstaat als Glied einer europäischen Gemeinschaft, in: VVDStRL 50 (1991).", 26, "105-112", "[8] Neuere Stimmen in der Literatur sehen aber auch in dieser evolutionären Entwicklung schon verfassunggebende Elemente: So konstatiert etwa Anne Peters,  Elemente einer Theorie der Verfassung Europas, 2001 Züge einer „Kontinuierlichen Verfassungsgebung“ und postuliert eine „Konstitution durch Evolution“ (S. 375 ff.) sowie eine „Legitimation durch Bewährung“ (S. 580 ff.) postuliert. Grundsätze, nach denen der Union bereits heute unstreitig Verfassungsqualität zukommt; vgl. dazu lediglich noch Ingolf Pernice / Peter M. Huber / Gertrude Lübbe-Wolff / Christoph Grabenwarter, Europäisches und nationales Verfassungsrecht, VVDStRL 60 (2001), und Helmut Steinberger / Eckart Klein/ Daniel Thürer, Der Verfassungsstaat als Glied einer europäischen Gemeinschaft, VVDStRL 50 (1991).", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Die Fußnote wurde mit dem dazugehörigen Text kopiert, sie befindet sich an einer ähnlichen Stelle."
099, "104-108", "[247] Zutreffend diesbezüglich auch &#039;&#039;J. Schwarze&#039;&#039;, in: &#039;&#039;ders&#039;&#039;. (Hrsg.), Die Entstehung einer europäischen Verfassungsordnung, 2000, S. 13, 182, &#039;&#039;ders&#039;&#039;., Europäische Verfassungsperspektiven nach Nizza, in: NJW 2002, S. 993 ff.; ein wenig zu skeptisch bezüglich des politischen Willens für „konstitutionalisierende europäische Verträge“ : &#039;&#039;W. Graf Vitzthum&#039;&#039;, Die Identität Europas, in: EuR 2002, S. 1 ff., 16.", 27, "101-105", "[9] Zutreffend konstatiert auch von Jürgen Schwarze, in: Ders. (Hrsg.), Die Entstehung einer europäischen Verfassungsordnung, 2000, S. 13, 182, ders., Europäische Verfassungsperspektiven nach Nizza, NJW 2002, S. 993 ff.; etwas zu skeptisch bezüglich des politischen Willens für „konstitutionalisierende europäische Verträge“ jüngst Wolfgang Graf Vitzthum, Die Identität Europas, EuR 2002, S. 1 ff (16).", "Verschleierung", "ja", "Fuchs 2002", "http://de.guttenplag.wikia.com/wiki/Kategorie:Fuchs%202002", "Die Fußnote wurde mit dem dazugehörigen Text kopiert, sie befindet sich an einer ähnlichen Stelle."
099, "109-111", "248&#13;&#10;Im Einzelnen U. Karpenstein, Der Vertrag von Amsterdam im Lichte der Maastrichtentscheidung des BVerfG, in: DVBl 1998, S. 942 ff.; R. Streinz, Der Vertrag von Amsterdam, in: JURA 1998, S. 57 ff.", 431, "", "534 Zu &quot;Amsterdam&quot; etwa: U. Karpenstein, Der Vertrag von Amsterdam im Lichte der Maastricht-Entscheidung des BVerfG, DVBl. 1998, S. 942 ff.; R. Streinz, Der Vertrag von Amsterdam, Jura 1998, S. 57 ff.", "KomplettPlagiat", "ja", "Häberle 2006", "http://de.guttenplag.wikia.com/wiki/Kategorie:Häberle%202006", "G. zieht &quot;Maastricht-Entscheidung&quot; zu &quot;Maastrichtentscheidung&quot; zusammen, das im Original zufällig auch wie eine Silbentrennung durch Zeilenumbruch aussieht.  Der korrekte Titel ist &quot;Maastricht-Entscheidung&quot; (richtig auch bei G. Fussnote 195, S. 84). {{Fragmentsichter|MoonofA|+}}"
26, "21-23", "Inhaltlich bildet sie die communis opinio der aufgeklärten Naturrechtslehre. Der Einfluss J. Lockes ist überall dort spürbar, wo von Konsens und Widerstand die Rede ist.[27]", 369, "26-28", "Inhaltlich bildet sie die communis opinio der aufgeklärten Naturrechtslehre; wo von Konsens und Widerstand die Rede ist, läßt sich der Einfluß Lockes wohl nicht übersehen.", "VerschärftesBauernOpfer", "ja", "Reinhard 1996", "http://de.guttenplag.wikia.com/wiki/Kategorie:Reinhard%201996", "Fn. 27 verweist auf diese Stelle bei Reinhard."
26, "116-120", "[Fn. 27] Der theoretische Abschnitt der Unabhängigkeitserklärung wird emotional von der Ab­rechnung mit dem englischen König George III. überlagert. Dort wird das archaische Motiv des Widerstands gegen einen Tyrannen aufgegriffen. Insoweit steht die Erklärung durch­aus in gewisser Rechtstradition der Monarchomachen, der Absetzung Philipps II. 1581, der Hinrichtung Karls I. und der Bill of Rights von 1689. [Diesen Aspekt heben auch W. Reinhard. Vom italienischen Humanismus bis zum Vorabend der Französischen Revolu­tion, in: H. Frenske/D. Mertens/W. Reinhard/K. Rosen (Hrsg.), Geschichte der politischen Ideen, aktualisierte Ausgabe 1996. S. 241 ff., 369 sowie E. Angermann. Ständische Recht­stradition in der amerikanischen Unabhängigkeitserklärung, in: Historische Zeitschrift 200 (1965). S. 61 ff. hervor. ...]", 369, "28-36", "Aber dieser theoretische Abschnitt war zunächst nicht so wichtig wie die Abrechnung mit Georg III., die sie absichern sollte. Dort aber wird das uralte Motiv des Widerstands gegen einen Tyrannen aufgegriffen und eine beinahe lehensrechtliche Absage an einen Fürsten formuliert, der seine Herrscherpflichten verletzt und dadurch seine Untertanen ihrer Verpflichtung entledigt. Insofern steht die Unabhängigkeitserklärung in &quot;ständischer Rechtstradition&quot; (Angermann) der Monarchomachen, der Absetzung Philipps II. 1581, der Hinrichtung Karls I., der Bill of Rights 1689 [...]", "VerschärftesBauernOpfer", "ja", "Reinhard 1996", "http://de.guttenplag.wikia.com/wiki/Kategorie:Reinhard%201996", "Zu Guttenberg verweist in Fn. 27 auf diese Stelle bei Reinhard und lagert Fließtext in sie aus."
100, "1-5", "[Verfassungsmodelle oder sogar eine damit verbundene „Neugründung&quot; der Europäischen Union] hätten sich hingegen stets an der politischen Durchsetzbarkeit zu messen. Dies würde grundsätzlich bedeuten, den notwendigen, eigenen Befindlichkeiten folgenden Ratifikationsprozess bereits im Vorfeld im Auge zu behalten und den Mehrwert gegenüber den bestehenden, in fünfzig Jahren ausgebildeten Vertragsgrundlagen der „europäischen Bevölkerung&quot; verständlich darzustellen.", 1, "33-36", "[&#039;&#039;Verfassungsmodelle&#039;&#039; und eine damit verbundene “Neugründung” der EU] sind hingegen politisch nicht durchsetzbar, würden einen kaum erfolgreich abzuschließenden Ratifikationsprozess nach sich ziehen und im Ergebnis nicht unbedingt einen Mehrwert gegenüber den bestehenden, in fünfzig Jahren ausgebildeten Vertragsgrundlagen bieten.", "Verschleierung", "nein", "Giering o.J.", "http://de.guttenplag.wikia.com/wiki/Kategorie:Giering%20o.J.", "Fortsetzung des Plagiats von Seite 99. {{Fragmentsichter|MoonofA|+}}"
100, "11-15", "Die Diskussion, ob Europa tatsächlich einer Verfassung bedarf und was deren Vor- und Nachteile sein könnten, wurde erschöpfend geführt.250 Aus politischer Sicht ist allerdings hervorzuheben, dass mit einem abgeschlossenen Verfassungsgebungsprozess auch eine Manifestierung der &quot;Politisierung&quot; der Europäischen Union einherginge251 und dass dadurch ihre Legitimität erhöht würde, entsprechend [der Maßgabe, dass dort, wo (europäisches) Recht gilt und durch- bzw. umgesetzt wird, auch der (verfassungsmäßige) Ursprung dieser Rechtsetzung offensichtlich sein muss.252]", 29, "[links]24-36", "Vorab aber ist grundsätzlich zu diskutieren, ob Europa tatsächlich einer Verfassung bedarf und was deren Vorteile sein könnten. Dafür spricht aus politischer Sicht, dass damit eine &quot;Politisierung&quot; der EU einherginge9 und dass dadurch ihre Legitimität erhöht würde, entsprechend der Maßgabe, dass dort, wo (europäisches) Recht gilt und durch- bzw. umgesetzt wird, auch der (verfassungsmäßige) Ursprung dieser Rechtsetzung klar sein muss.10", "VerschärftesBauernOpfer", "ja", "Guérot 2001", "http://de.guttenplag.wikia.com/wiki/Kategorie:Guérot%202001", "Verschleierte Übernahme inkl. Fußnoten. Alibimäßig wird auf die tatsächliche weiträumig plagiierte Quelle verwiesen (S. 101, Fußnote 253). {{Fragmentsichter|MoonofA|+}}"
